method,gene
S3R,ACADVL
S3R,ACAP3
S3R,ACKR1
S3R,ACSL1
S3R,ACTA2
S3R,ACTG1
S3R,ACTN4
S3R,ADAM15
S3R,ADGRG1
S3R,ADIRF
S3R,AEBP1
S3R,AGPAT3
S3R,AHNAK
S3R,AL627171.2
S3R,ALDH3A2
S3R,ALDH3B2
S3R,ALKBH7
S3R,ANXA2
S3R,ANXA6
S3R,AP2S1
S3R,APOD
S3R,APOE
S3R,AQP1
S3R,ARHGDIA
S3R,ARL6IP4
S3R,ATP1B3
S3R,ATP5F1D
S3R,ATP5F1E
S3R,ATP5IF1
S3R,ATP5MC3
S3R,ATP5ME
S3R,ATP5MF
S3R,ATP5MG
S3R,ATP5MPL
S3R,ATP5PD
S3R,ATP5PF
S3R,ATP6V0B
S3R,ATP6V0C
S3R,ATP6V1G1
S3R,AUP1
S3R,AURKAIP1
S3R,AZGP1
S3R,B2M
S3R,BCAP31
S3R,BLOC1S1
S3R,BTF3
S3R,BZW1
S3R,C12orf57
S3R,C19orf33
S3R,C19orf53
S3R,C1R
S3R,C3
S3R,C4orf3
S3R,C9orf16
S3R,CALD1
S3R,CALM1
S3R,CALML3
S3R,CALML5
S3R,CALR
S3R,CANX
S3R,CAVIN1
S3R,CCDC80
S3R,CCN5
S3R,CCNL2
S3R,CD44
S3R,CD63
S3R,CD74
S3R,CD81
S3R,CD9
S3R,CD99
S3R,CDC42
S3R,CEBPD
S3R,CFD
S3R,CFH
S3R,CFL1
S3R,CHCHD10
S3R,CHMP2A
S3R,CIRBP
S3R,CKB
S3R,CLU
S3R,CLUH
S3R,CNBP
S3R,COL16A1
S3R,COL18A1
S3R,COL1A1
S3R,COL1A2
S3R,COL3A1
S3R,COL6A2
S3R,COL7A1
S3R,COPE
S3R,COX5A
S3R,COX6A1
S3R,COX6B1
S3R,COX6C
S3R,COX7A1
S3R,COX7C
S3R,COX8A
S3R,CRAT
S3R,CRIP1
S3R,CRTAP
S3R,CS
S3R,CSDE1
S3R,CSRP1
S3R,CST3
S3R,CST6
S3R,CSTB
S3R,CTNNBIP1
S3R,CTSA
S3R,CTSB
S3R,CTSD
S3R,CXCL12
S3R,CXCL14
S3R,CYB5A
S3R,CYB5R3
S3R,DBI
S3R,DCD
S3R,DCN
S3R,DCTN2
S3R,DDR1
S3R,DEGS1
S3R,DES
S3R,DGAT2
S3R,DHCR24
S3R,DMKN
S3R,DPM3
S3R,DSC3
S3R,DSP
S3R,DST
S3R,DUSP1
S3R,EBP
S3R,ECH1
S3R,ECI1
S3R,EDF1
S3R,EEF1A1
S3R,EEF1D
S3R,EEF1G
S3R,EEF2
S3R,EGFL7
S3R,EIF1
S3R,EIF3E
S3R,EIF3F
S3R,EIF3G
S3R,EIF3K
S3R,EIF3L
S3R,EIF4A1
S3R,EIF4B
S3R,EIF4G2
S3R,EIF5A
S3R,ELOVL5
S3R,EMP1
S3R,EMP3
S3R,ENO1
S3R,ENSA
S3R,EPS8L2
S3R,ERGIC3
S3R,EVL
S3R,FADS2
S3R,FASN
S3R,FAU
S3R,FBLN1
S3R,FBLN2
S3R,FDFT1
S3R,FDPS
S3R,FIS1
S3R,FKBP1A
S3R,FLG2
S3R,FTH1
S3R,FTL
S3R,FUS
S3R,FXYD3
S3R,GABARAP
S3R,GAL
S3R,GAPDH
S3R,GAS5
S3R,GAS6
S3R,GHITM
S3R,GLUL
S3R,GNB1
S3R,GPC1
S3R,GPNMB
S3R,GPX3
S3R,GPX4
S3R,GRINA
S3R,GRN
S3R,GSN
S3R,GSTK1
S3R,GSTO1
S3R,GSTP1
S3R,GUK1
S3R,H1FX
S3R,H3F3A
S3R,H3F3B
S3R,HES4
S3R,HINT1
S3R,HLA-A
S3R,HLA-B
S3R,HLA-C
S3R,HLA-DMA
S3R,HLA-DQB1
S3R,HLA-DRA
S3R,HLA-DRB1
S3R,HLA-E
S3R,HMG20B
S3R,HNRNPA2B1
S3R,HNRNPD
S3R,HNRNPH1
S3R,HNRNPK
S3R,HNRNPL
S3R,HOPX
S3R,HRAS
S3R,HSP90AA1
S3R,HTRA1
S3R,ID1
S3R,IGFBP4
S3R,IGFBP5
S3R,IGFBP7
S3R,ILVBL
S3R,IMPDH2
S3R,INTS1
S3R,ISLR
S3R,ITGB4
S3R,ITGB5
S3R,JTB
S3R,JUND
S3R,JUP
S3R,KIAA0930
S3R,KLF5
S3R,KRT1
S3R,KRT10
S3R,KRT14
S3R,KRT15
S3R,KRT17
S3R,KRT2
S3R,KRT5
S3R,KRT6A
S3R,KRT6B
S3R,KRT7
S3R,KRT71
S3R,KRT79
S3R,KRTDAP
S3R,LAMB2
S3R,LAMTOR5
S3R,LAPTM4A
S3R,LDHA
S3R,LGALS1
S3R,LGALS3
S3R,LGALS7
S3R,LGALS7B
S3R,LMNA
S3R,LOR
S3R,LRP1
S3R,LTBP3
S3R,LTBP4
S3R,LY6D
S3R,LY6E
S3R,MAT2A
S3R,MAZ
S3R,MDH2
S3R,MEGF6
S3R,MFAP4
S3R,MGAT1
S3R,MGST1
S3R,MGST3
S3R,MIF
S3R,MMP2
S3R,MRPL52
S3R,MRPS26
S3R,MRPS34
S3R,MT-ATP6
S3R,MT-CO1
S3R,MT-CO2
S3R,MT-CO3
S3R,MT-CYB
S3R,MT-ND1
S3R,MT-ND2
S3R,MT-ND3
S3R,MT-ND4
S3R,MT-ND5
S3R,MT1X
S3R,MT2A
S3R,MUCL1
S3R,MVD
S3R,MVK
S3R,MYDGF
S3R,MYL12A
S3R,MYL12B
S3R,MYL6
S3R,MYL9
S3R,MZT2B
S3R,NACA
S3R,NAPA
S3R,NBL1
S3R,NDUFA1
S3R,NDUFA11
S3R,NDUFA13
S3R,NDUFA2
S3R,NDUFA4
S3R,NDUFB7
S3R,NDUFB8
S3R,NDUFC1
S3R,NDUFC2
S3R,NDUFS5
S3R,NDUFS6
S3R,NDUFS7
S3R,NEAT1
S3R,NEDD8
S3R,NENF
S3R,NIBAN2
S3R,NME2
S3R,NME3
S3R,NOP53
S3R,NRBP1
S3R,NUMA1
S3R,NUPR1
S3R,OAZ1
S3R,OGA
S3R,OS9
S3R,OST4
S3R,P4HB
S3R,PABPC1
S3R,PCBP2
S3R,PDLIM4
S3R,PERP
S3R,PFDN5
S3R,PFN1
S3R,PHB2
S3R,PI16
S3R,PIGT
S3R,PIP
S3R,PKP1
S3R,PLAC9
S3R,PLCG2
S3R,PLD3
S3R,PLEC
S3R,PLIN2
S3R,PM20D1
S3R,POLR2L
S3R,PPIA
S3R,PPP1CA
S3R,PPP1R14B
S3R,PRDX1
S3R,PRDX2
S3R,PRDX6
S3R,PRMT1
S3R,PRPF8
S3R,PRR9
S3R,PRXL2A
S3R,PSAP
S3R,PSMA6
S3R,PSMB1
S3R,PSMD8
S3R,PSME1
S3R,PTGDS
S3R,PTMA
S3R,PTPA
S3R,PTPRF
S3R,RAB1A
S3R,RACK1
S3R,RALY
S3R,RBM3
S3R,RBM5
S3R,REEP5
S3R,RHOC
S3R,RHOT2
S3R,RNASE1
S3R,ROMO1
S3R,RPL10
S3R,RPL10A
S3R,RPL11
S3R,RPL12
S3R,RPL13
S3R,RPL13A
S3R,RPL14
S3R,RPL15
S3R,RPL17
S3R,RPL18
S3R,RPL18A
S3R,RPL19
S3R,RPL21
S3R,RPL22
S3R,RPL23
S3R,RPL23A
S3R,RPL24
S3R,RPL26
S3R,RPL27
S3R,RPL27A
S3R,RPL28
S3R,RPL29
S3R,RPL3
S3R,RPL30
S3R,RPL31
S3R,RPL32
S3R,RPL34
S3R,RPL35
S3R,RPL35A
S3R,RPL36
S3R,RPL36A
S3R,RPL36AL
S3R,RPL37
S3R,RPL37A
S3R,RPL38
S3R,RPL39
S3R,RPL4
S3R,RPL41
S3R,RPL5
S3R,RPL6
S3R,RPL7
S3R,RPL7A
S3R,RPL8
S3R,RPL9
S3R,RPLP0
S3R,RPLP1
S3R,RPLP2
S3R,RPS10
S3R,RPS11
S3R,RPS12
S3R,RPS13
S3R,RPS14
S3R,RPS15
S3R,RPS15A
