ligand_gene,receptor_gene,ligand_cell_type,receptor_cell_type,correlation
ACTA2,ANXA2,Endothelial,Pericyte,0.816822378
ACTA2,ANXA2,Endothelial,restCAF,0.772821222
ACTA2,C3,restCAF,Endothelial,0.801827898
ACTA2,CALD1,restCAF,Endothelial,0.781032151
ACTA2,CD74,Endothelial,restCAF,0.801119134
ACTA2,COL17A1,Ductal,permCAF,0.775773185
ACTA2,CTSB,Endothelial,restCAF,0.773808918
ACTA2,DCN,B,T,0.898223207
ACTA2,FXYD3,Ductal,permCAF,0.775063428
ACTA2,GSTP1,B,T,0.819294861
ACTA2,GSTP1,Endothelial,restCAF,0.781590783
ACTA2,HSPB1,Endothelial,restCAF,0.799329821
ACTB,EGLN3,Ductal,permCAF,0.691962598
ACTG1,AHNAK,Ductal,permCAF,0.70571435
ACTG1,B2M,permCAF,Ductal,0.692980579
ACTG1,COL17A1,Ductal,permCAF,0.690214497
ACTG1,CTSB,permCAF,Ductal,0.744064833
ACTG1,EGLN3,Ductal,permCAF,0.737653605
ACTG1,F3,Ductal,permCAF,0.721220541
ACTG1,NBL1,permCAF,Ductal,0.690711842
ACTG1,PKM,permCAF,Ductal,0.71219627
ACTG1,SH3BGRL3,permCAF,Ductal,0.69781866
ACTG1,TAGLN,permCAF,Ductal,0.694023211
ACTN1,COL17A1,Ductal,permCAF,0.794682848
ACTN1,DCN,B,T,0.815989056
ADM,CALCRL,permCAF,Ductal,0.92123413
AEBP1,C3,restCAF,Endothelial,0.79234261
AEBP1,COL17A1,Ductal,permCAF,0.801910758
AEBP1,DCN,B,T,0.883195773
AEBP1,FXYD3,Ductal,permCAF,0.785675439
AEBP1,GSTP1,B,T,0.804970351
AHNAK,SERPINE1,restCAF,Endothelial,0.478542609
AHNAK,COL17A1,Ductal,permCAF,0.809526932
AHNAK,DCN,B,T,0.880845962
AHNAK,GSTP1,B,T,0.822624335
AHNAK,B2M,permCAF,Ductal,0.741831726
AHNAK,BGN,permCAF,Ductal,0.72523139
AHNAK,CALD1,permCAF,Ductal,0.694220328
AHNAK,COL17A1,Ductal,permCAF,0.744364857
AHNAK,COL17A1,permCAF,Ductal,0.704582543
AHNAK,CTSB,permCAF,Ductal,0.782762089
AHNAK,DDIT4,Ductal,permCAF,0.719701324
AHNAK,DDIT4,permCAF,Ductal,0.767857119
AHNAK,EGLN3,Ductal,permCAF,0.751941071
AHNAK,F3,Ductal,permCAF,0.756672749
AHNAK,IGFBP7,permCAF,Ductal,0.72824577
AHNAK,KRT19,Ductal,permCAF,0.73067644
AHNAK,KRT19,permCAF,Ductal,0.719511375
AHNAK,LGALS1,permCAF,Ductal,0.706696217
AHNAK,MYL6,permCAF,Ductal,0.725594436
AHNAK,NBL1,Ductal,permCAF,0.692007439
AHNAK,NBL1,permCAF,Ductal,0.725765578
AHNAK,PKM,permCAF,Ductal,0.737095106
AHNAK,S100A10,permCAF,Ductal,0.692744866
AHNAK,SH3BGRL3,permCAF,Ductal,0.729952739
AHNAK,TAGLN,Ductal,permCAF,0.6915648
AHNAK,TAGLN,permCAF,Ductal,0.769614255
AHNAK,TIMP1,permCAF,Ductal,0.706737796
AHNAK,TPM1,permCAF,Ductal,0.743925461
ANXA1,DCN,B,T,0.794057009
ANXA2,C3,Pericyte,Endothelial,0.80312199
ANXA2,C3,restCAF,Endothelial,0.804396072
ANXA2,CALD1,Pericyte,Endothelial,0.822816109
ANXA2,CALD1,restCAF,Endothelial,0.794111644
ANXA2,CD74,Pericyte,Endothelial,0.780341814
ANXA2,CD74,Pericyte,restCAF,0.776646031
ANXA2,CD74,restCAF,Endothelial,0.772913435
ANXA2,CNN2,Pericyte,Endothelial,0.825850272
ANXA2,CNN2,restCAF,Endothelial,0.800709525
ANXA2,COL17A1,Ductal,permCAF,0.797899959
ANXA2,COL4A1,Pericyte,Endothelial,0.812189311
ANXA2,COL4A1,restCAF,Endothelial,0.788448524
ANXA2,COL4A2,Pericyte,Endothelial,0.83880291
ANXA2,COL4A2,restCAF,Endothelial,0.792216749
ANXA2,COL6A2,Pericyte,Endothelial,0.815864573
ANXA2,CTSB,Pericyte,Endothelial,0.804379146
ANXA2,CTSB,restCAF,Endothelial,0.770834985
ANXA2,DCN,B,T,0.809654218
ANXA2,DCN,Pericyte,Endothelial,0.815531912
ANXA2,DCN,restCAF,Endothelial,0.774091322
ANXA2,F3,Pericyte,Endothelial,0.790850583
ANXA2,F3,restCAF,Endothelial,0.783973219
ANXA2,FABP4,Pericyte,Endothelial,0.773635097
ANXA2,FTL,Pericyte,Endothelial,0.801836653
ANXA2,GSTP1,B,T,0.818243385
ANXA2,HSPB1,Pericyte,Endothelial,0.816952481
ANXA2,HSPB1,restCAF,Endothelial,0.789513909
ANXA5,CTSB,permCAF,Ductal,0.694128383
APLP2,APP,Ductal,permCAF,0.589179203
APLP2,APP,Macrophage,permCAF,0.438701705
APP,CD74,Ductal,Monocyte,0.483082843
APP,CD74,permCAF,Ductal,0.460283537
APP,CD74,permCAF,Endothelial,0.480437809
APP,CD74,permCAF,Macrophage,0.735048082
APP,CD74,permCAF,Monocyte,0.405756771
APP,CD74,permCAF,restCAF,0.651027777
AP2S1,NOP58,permCAF,Macrophage,0.88432445
ASPH,CTSB,permCAF,Ductal,0.708752259
B2M,COL17A1,Ductal,permCAF,0.734481239
B2M,CTSB,permCAF,Ductal,0.746182727
B2M,EGLN3,Ductal,permCAF,0.74063218
B2M,F3,Ductal,permCAF,0.732798008
B2M,KRT19,Ductal,permCAF,0.700847506
B2M,NBL1,Ductal,permCAF,0.696114361
B2M,PKM,Ductal,permCAF,0.692836582
B2M,PKM,permCAF,Ductal,0.7066519
B2M,S100A10,Ductal,permCAF,0.697163405
B2M,TAGLN,Ductal,permCAF,0.695698944
B2M,TAGLN,permCAF,Ductal,0.724588769
BGN,COL17A1,Ductal,permCAF,0.712397566
BGN,CTSB,permCAF,Ductal,0.75225299
BGN,DDIT4,Ductal,permCAF,0.699054776
BGN,DDIT4,permCAF,Ductal,0.695391188
BGN,EGLN3,Ductal,permCAF,0.732018278
BGN,F3,Ductal,permCAF,0.726003245
BGN,NBL1,Ductal,permCAF,0.693112454
BGN,NBL1,permCAF,Ductal,0.69560058
BGN,PKM,permCAF,Ductal,0.692083414
BGN,TAGLN,permCAF,Ductal,0.714819767
BGN,TPM1,permCAF,Ductal,0.692835033
BHLHE40,EGLN3,Ductal,permCAF,0.691923903
