gene,gene_features,celltype_features,niche_features,total_selected
C5orf46,,,,0
REXO4,,,,0
NARS,"ABCC11,ACTA2,ADAM9,ADGRE5,AIF1,ALDH1A3,APOBEC3B,AVPR1A,BASP1,C1QA,C1QC,C5orf46,C6orf132,CAVIN2,CCL5,CCND1,CCR7,CD274,CD68,CD69,CD79A,CD86,CD9,CDC42EP1,CEACAM6,CRISPLD2,CSF3,CTSG,CTTN,CXCL12,CXCL16,CXCL5,DST","Unlabeled,Invasive_Tumor,DCIS_1,Mast_Cells,Macrophages_2,Perivascular-Like,IRF7+_DCs",niche_3,41
FLNB,"ACTA2,ACTG2,ADAM9,ADH1B,ADIPOQ,AHSP,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,APOBEC3B,AQP3,C15orf48,C2orf42,CAVIN2,CCR7,CD1C,CD247,CD27,CD274,CD3D,CD68,CD79A,CD86,CD8B","Unlabeled,DCIS_1,Endothelial,Macrophages_2,Perivascular-Like,LAMP3+_DCs","niche_2,niche_4,niche_5",36
CD79B,,,,0
CDC42EP1,"ACTA2,ACTG2,ADGRE5,AHSP,AIF1,AKR1C1,ANKRD28,APOBEC3B,AQP3,AR,BTNL9,C15orf48,C1QC,CCDC6,CCDC80,CCL20,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD163,CD19,CD247,CD3D,CD3E,CD4,CD80,CD86,CD8A,CD8B,CD9,CD93","Unlabeled,Stromal,DCIS_1,Endothelial,CD4+_T_Cells,B_Cells,Macrophages_2",,41
LTB,"ACTA2,ADGRE5,AGR3,AKR1C1,AKR1C3,APOBEC3A,APOC1,AQP3,CAV1,CCDC6,CCL20,CCL5,CCL8,CD163,CD1C,CD247,CD27,CD274,CD4,CD79B","Stromal,Myoepi_ACTA2+,CD8+_T_Cells,CD4+_T_Cells,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+","niche_1,niche_3,niche_5",29
CD163,"ACTG2,ADH1B,ADIPOQ,AGR3,AHSP,AIF1,AKR1C1,ANKRD29,AVPR1A,BACE2,BTNL9,CCDC6,CCDC80,CCL5,CCL8,CCR7,CD14,CD19,CD27,CD274,CD3D,CD3E,CD4,CD80,CDH1,CEACAM6,CEACAM8,CLEC9A,CLECL1,CLIC6,CRHBP,CTTN,CXCL12,DAPK3,DMKN,DNAAF1","DCIS_2,Myoepi_ACTA2+,CD8+_T_Cells,Prolif_Invasive_Tumor,Mast_Cells,B_Cells,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs","niche_2,niche_5",46
ELF5,,,,0
MEDAG,"ABCC11,ACTA2,ADAM9,ADGRE5,AGR3,AKR1C1,AKR1C3,ALDH1A3,ANKRD28,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AQP3,BACE2,C2orf42,C5orf46,CAV1,CCND1,CCPG1,CD163","DCIS_1,Myoepi_ACTA2+,B_Cells,IRF7+_DCs,Myoepi_KRT15+","niche_3,niche_5",28
FBLIM1,,,,0
FOXP3,,,,0
ACTA2,"ACTG2,ADGRE5,ANKRD29,AQP1,C1QA,C6orf132,CAV1,CCDC80,CCND1,CCR7,CD79B,CD80,CD83,CD8B,CLEC9A,CRHBP,CRISPLD2,CSF3,CTLA4,CXCL5,DERL3,DSC2,ENAH,ERBB2,ERN1,FCER1A,IGF1,IL2RA,KRT14,KRT16,KRT23",B_Cells,niche_5,33
SRPK1,"ACTA2,AGR3,AIF1,ANGPT2,ANKRD28,ANKRD29,APOBEC3B,APOC1,AR,AVPR1A,BACE2,BANK1,BASP1,C15orf48,C1QC,C5orf46,CAV1,CAVIN2,CCDC6,CCL5,CCPG1,CCR7,CD14,CD247,CD274,DST","DCIS_2,Invasive_Tumor,Macrophages_1,Stromal,Myoepi_ACTA2+,CD8+_T_Cells,Endothelial,T_Cell_&_Tumor_Hybrid,Mast_Cells,CD4+_T_Cells,B_Cells,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+","niche_3,niche_4",41
ESM1,,,,0
EIF4EBP1,"ADIPOQ,AGR3,AIF1,AKR1C3,ANGPT2,ANKRD28,ANKRD30A,BTNL9,C2orf42,CAV1,CCND1,CD19,CD69,CEACAM8,CENPF,CLCA2,CLECL1,CLIC6,CPA3,CTTN,CXCR4,CYTIP,DAPK3,DNAAF1,DNTTIP1,DPT,DSC2,DUSP2,DUSP5,ELF3,DST","DCIS_2,Stromal,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,B_Cells,Stromal_&_T_Cell_Hybrid,Perivascular-Like,LAMP3+_DCs,Myoepi_KRT15+",niche_2,41
CD93,"ABCC11,ACTA2,ADAM9,ADGRE5,ADH1B,AGR3,AHSP,AIF1,ANGPT2,ANKRD29,ANKRD30A,AQP1,AQP3,AR,BACE2,C1QA,C2orf42,C6orf132,CAV1,CCDC6,CCL8,CCND1,CCPG1,CCR7,CD163,CD1C,CD3E,CD79B,CD80,CD9,CEACAM6,CEACAM8,CLEC14A,CLIC6,DST","DCIS_2,Unlabeled,Invasive_Tumor,Stromal,CD8+_T_Cells,CD4+_T_Cells,B_Cells,Macrophages_2,Perivascular-Like,LAMP3+_DCs,IRF7+_DCs","niche_1,niche_3,niche_4,niche_5",50
TNFRSF17,,,,0
DMKN,,,,0
CD69,"ADH1B,AGR3,APOBEC3A,APOC1,AR,C2orf42,C6orf132,CAVIN2,CCDC80,CCPG1,CCR7,CD68,CD8B,CDH1,CENPF,DNAAF1,EDN1,EPCAM,ERBB2,FBLIM1,FBLN1,FCER1G,GATA3,IL7R,KDR,KLRB1,KLRF1,KRT14,LPXN,LRRC15,LUM,MMP1,MMP2,MYH11,MYO5B,NCAM1,PDGFRB,PECAM1,PRDM1,DST","Macrophages_1,Mast_Cells,B_Cells,Stromal_&_T_Cell_Hybrid",niche_4,45
PIGR,,,,0
C1QC,"ABCC11,AIF1,ANKRD30A,AVPR1A,BACE2,CCDC80,CCND1,CD14,CD163,CD247,CD4,CD68,CD93,CEACAM6,CENPF,CXCL12,CXCR4,DPT,ERBB2,FOXP3,GNLY,GZMA,HAVCR2,IGSF6,IL2RA,ITGAM,ITGAX,KIT,KRT5,KRT7,LDHB,LILRA4,LUM,MAP3K8,MRC1,NARS,NKG7,OXTR,PDCD1","Stromal,Prolif_Invasive_Tumor,Macrophages_2,Stromal_&_T_Cell_Hybrid",,43
ZNF562,"ABCC11,ACTA2,AGR3,AHSP,AIF1,AKR1C3,ALDH1A3,ANKRD28,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,BANK1,C15orf48,C1QA,C1QC,C6orf132,CAV1,CCDC80,CCL5,CCND1","DCIS_2,Unlabeled,Macrophages_1,Stromal,Endothelial,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,Mast_Cells,CD4+_T_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+","niche_1,niche_3,niche_5",38
CD3D,"ACTA2,AGR3,ANKRD29,AQP1,AQP3,AVPR1A,BACE2,BANK1,CAVIN2,CCL20,CD247,CD3G,CD4,CD93,CLDN4,CLECL1,CRISPLD2,CTH,CXCR4,DMKN,DPT,DSC2,EIF4EBP1,ELF3,ENAH,ESM1,FAM107B,FBLN1,FCGR3A,GLIPR1,GZMA,GZMK,HDC","Unlabeled,Macrophages_1,CD4+_T_Cells,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+",,38
PIM1,"ACTA2,AIF1,ANKRD30A,C15orf48,CCDC80,CCND1,CCPG1,CD163,CD19,CD27,CD3E,CD3G,CD9,CEACAM8,DAPK3,DSC2,FOXA1,FOXP3,GPR183,GZMK,IGF1,IL3RA,ITGAX,ITM2C,KLF5,KRT15,KRT16,KRT5,LUM,LYPD3,MUC6","DCIS_2,Invasive_Tumor,Mast_Cells",,34
DUSP2,,,,0
SH3YL1,"ABCC11,ACTA2,ACTG2,ADGRE5,ADH1B,ADIPOQ,AHSP,AKR1C3,ALDH1A3,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AQP3,BANK1,BASP1,C1QC,C5orf46,CAV1,CCDC80,CCL5,CD163","DCIS_2,Unlabeled,Stromal,Myoepi_ACTA2+,Endothelial,B_Cells,Perivascular-Like,LAMP3+_DCs,Myoepi_KRT15+",,31
ELF3,"ADAM9,AGR3,AKR1C1,ANKRD28,ANKRD30A,APOBEC3B,C2orf42,CCL20,CD247,CD3D,CD69,CD8A,CDC42EP1,CEACAM6,CLDN4,CLDN5,CLEC14A,CLIC6,CRHBP,CSF3,CTTN,DAPK3,DSC2,EDNRB,ERBB2,ESR1,FASN,FBLN1,FCER1G,FSTL3,GPR183","DCIS_2,Invasive_Tumor,Macrophages_1,Mast_Cells,B_Cells,Macrophages_2,LAMP3+_DCs",,38
SELL,"ADAM9,ADH1B,AKR1C1,ALDH1A3,ANKRD29,AVPR1A,C15orf48,C1QA,C1QC,C2orf42,CD14,CD79A,CD79B,CD9,CTH,CTSG,CXCL12,CXCL5,DMKN,DPT,DSC2,DSP,EGFL7,EIF4EBP1,FOXA1,FOXP3,HDC,HPX,KLF5,KLRC1,KRT14,KRT15,KRT5,LY86,MDM2,DST",Macrophages_1,niche_1,38
DUSP5,"ACTG2,AHSP,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD29,ANKRD30A,APOBEC3A,APOC1,AQP3,AR,C1QA,C5orf46,C6orf132,CAV1,CCDC6,CCDC80,CCL20,CCL8,CCND1,CCR7,CD14,CD163,CD247,CD27,CD3G,CD4,CD68,CD86","Invasive_Tumor,Myoepi_ACTA2+,T_Cell_&_Tumor_Hybrid,Mast_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,Perivascular-Like,Myoepi_KRT15+","niche_1,niche_5",40
GZMK,,,,0
GZMB,"ABCC11,ACTG2,ADH1B,AGR3,AHSP,AKR1C3,ANGPT2,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AR,AVPR1A,BANK1,BASP1,BTNL9,C15orf48,C1QC,C2orf42,CAV1,CAVIN2,CCL20,CCL5,CCND1,CD19,CD27,CD3D,CD3E,CD3G,CD4,CD68,CD79A,CD80,CD83,CD86,CD8A","DCIS_2,Invasive_Tumor,Macrophages_1,B_Cells","niche_1,niche_4,niche_5",44
ADH1B,"ACTA2,ACTG2,ALDH1A3,ANKRD28,BTNL9,C15orf48,C1QC,CCDC80,CCL20,CCND1,CD247,CD27,CD4,CD68,CDH1,CEACAM6,CTTN,CXCL12,DPT,DSC2,EPCAM,ERBB2",DCIS_2,niche_5,24
CCL5,"ANKRD28,APOC1,AQP1,AQP3,BACE2,BTNL9,CD14,CD247,CD3E,CD68,CD8A,CX3CR1,CXCR4,CYP1A1,ELF5,ENAH,ERBB2,FLNB,IL7R,LUM,PLD4,POLR2J3,POSTN",LAMP3+_DCs,niche_2,25
LAG3,,,,0
