dataset_index,algorithm,k2,k3,k4,k5,k6
0,SSS,0.971,0.961,0.88,0.906,0.835
0,RSCC,0.53,0.438,0.634,0.663,0.536
0,EN,-0.02,-0.057,0.008,0.022,0.074
0,GWL,-0.063,-0.039,0.05,-0.014,-0.042
0,VS-GPSVC,0.022,0.072,0.042,0.027,0.129
1,SSS,0.875,0.834,0.838,0.81,0.775
1,RSCC,0.601,0.663,0.186,0.34,0.368
1,EN,-0.023,0.078,-0.045,0.053,0.004
1,GWL,0.048,-0.022,0.004,-0.06,-0.033
1,VS-GPSVC,0.156,0.034,0.172,0.147,0.125
2,SSS,0.738,0.661,0.68,0.688,0.585
2,RSCC,0.131,0.31,0.141,0.333,0.108
2,EN,-0.063,0.073,-0.047,0.049,0.015
2,GWL,-0.041,0.01,0.03,-0.079,-0.02
2,VS-GPSVC,0.072,0.111,0.021,0.042,0.061
3,SSS,0.893,0.9,0.824,0.825,0.792
3,RSCC,0.872,0.863,0.615,0.622,0.72
3,EN,0.004,-0.003,0.068,-0.017,0.048
3,GWL,-0.022,0.056,-0.041,0.023,-0.053
3,VS-GPSVC,0.03,0.039,0.127,0.049,0.022
4,SSS,0.344,0.329,0.217,0.392,0.249
4,RSCC,,,,,
4,EN,0.054,0.0,-0.009,-0.01,0.006
4,GWL,-0.042,0.028,-0.073,0.029,-0.017
4,VS-GPSVC,,,,,
5,SSS,0.815,0.608,0.594,0.829,0.438
5,RSCC,,,,,
5,EN,-0.032,0.0,-0.06,0.047,-0.001
5,GWL,0.051,-0.037,0.024,-0.062,0.038
5,VS-GPSVC,,,,,
6,SSS,0.881,0.862,0.83,0.864,0.795
6,RSCC,0.5,0.488,0.534,0.563,0.506
6,EN,0.039,0.007,0.036,0.098,0.002
6,GWL,-0.063,-0.039,0.005,-0.014,-0.042
6,VS-GPSVC,0.022,0.072,0.042,0.027,0.088
7,SSS,0.904,0.851,0.815,0.732,0.74
7,RSCC,0.596,0.338,0.238,0.356,0.176
7,EN,-0.023,0.078,-0.045,0.053,0.021
7,GWL,0.048,-0.122,0.14,-0.06,-0.133
7,VS-GPSVC,0.056,0.034,0.072,0.047,0.013
8,SSS,0.739,0.69,0.661,0.529,0.552
8,RSCC,0.143,0.239,0.11,0.177,0.055
8,EN,-0.006,0.073,-0.005,0.049,0.015
8,GWL,-0.041,0.01,0.03,-0.079,-0.02
8,VS-GPSVC,0.072,0.011,0.021,0.042,0.061
9,SSS,0.913,0.882,0.849,0.809,0.785
9,RSCC,0.811,0.735,0.743,0.688,0.46
9,EN,0.039,-0.003,0.007,-0.017,0.048
9,GWL,-0.002,0.056,-0.004,0.135,-0.053
9,VS-GPSVC,0.03,0.039,0.013,0.049,0.022
10,SSS,0.325,0.341,0.425,0.346,0.17
10,RSCC,,,,,
10,EN,0.001,-0.009,-0.001,0.006,0.0
10,GWL,-0.042,0.028,-0.073,0.029,-0.017
10,VS-GPSVC,,,,,
11,SSS,0.745,0.54,0.716,0.819,0.394
11,RSCC,,,,,
11,EN,-0.032,0.029,-0.06,0.047,-0.013
11,GWL,0.051,-0.004,0.239,-0.062,0.038
11,VS-GPSVC,,,,,
12,SSS,0.881,0.836,0.803,0.826,0.795
12,RSCC,0.502,0.479,0.543,0.526,0.511
12,EN,0.034,0.005,0.055,0.017,0.063
12,GWL,-0.063,-0.039,0.005,-0.001,-0.042
12,VS-GPSVC,0.022,0.072,0.042,0.027,-0.088
13,SSS,0.772,0.78,0.795,0.771,0.638
13,RSCC,0.552,0.337,0.317,0.274,0.103
13,EN,-0.023,0.078,-0.045,0.153,0.039
13,GWL,0.048,-0.022,0.14,-0.006,-0.133
13,VS-GPSVC,0.056,0.034,0.072,0.047,0.013
14,SSS,0.67,0.704,0.671,0.501,0.513
14,RSCC,0.094,0.077,0.055,-0.017,0.081
14,EN,-0.006,0.007,-0.005,0.005,0.002
14,GWL,-0.041,0.01,0.03,-0.079,-0.02
14,VS-GPSVC,0.072,0.011,0.021,0.042,0.061
15,SSS,0.909,0.813,0.829,0.789,0.741
15,RSCC,0.894,0.725,0.775,0.574,0.51
15,EN,0.039,-0.028,0.068,-0.017,0.048
15,GWL,-0.022,0.056,-0.041,0.023,-0.053
15,VS-GPSVC,0.03,0.039,0.013,0.049,0.022
16,SSS,0.335,0.33,0.219,0.138,0.209
16,RSCC,,,,,
16,EN,-0.005,-0.001,0.001,0.013,-0.002
16,GWL,-0.042,0.028,-0.073,0.029,-0.017
16,VS-GPSVC,,,,,
17,SSS,0.685,0.504,0.428,0.537,0.351
17,RSCC,,,,,
17,EN,-0.032,0.029,-0.006,0.047,-0.013
17,GWL,0.051,-0.037,0.024,-0.062,0.004
17,VS-GPSVC,,,,,
